Country,Months,Year,Temperature Change on Land (°c)
China,Dec–Jan–Feb,1961,-0.068
China,Dec–Jan–Feb,1962,0.075
China,Dec–Jan–Feb,1963,0.201
China,Dec–Jan–Feb,1964,-0.705
China,Dec–Jan–Feb,1965,0.585
China,Dec–Jan–Feb,1966,0.736
China,Dec–Jan–Feb,1967,-0.827
China,Dec–Jan–Feb,1968,-1.627
China,Dec–Jan–Feb,1969,-0.557
China,Dec–Jan–Feb,1970,-0.029
China,Dec–Jan–Feb,1971,0.102
China,Dec–Jan–Feb,1972,0.06
China,Dec–Jan–Feb,1973,1.026
China,Dec–Jan–Feb,1974,-0.041
China,Dec–Jan–Feb,1975,0.009
China,Dec–Jan–Feb,1976,0.539
China,Dec–Jan–Feb,1977,-1.113
China,Dec–Jan–Feb,1978,-0.086
China,Dec–Jan–Feb,1979,1.757
China,Dec–Jan–Feb,1980,0.514
China,Dec–Jan–Feb,1981,0.535
China,Dec–Jan–Feb,1982,0.91
China,Dec–Jan–Feb,1983,-0.142
China,Dec–Jan–Feb,1984,-0.576
China,Dec–Jan–Feb,1985,-0.348
China,Dec–Jan–Feb,1986,0.13
China,Dec–Jan–Feb,1987,1.584
China,Dec–Jan–Feb,1988,0.903
China,Dec–Jan–Feb,1989,1.17
China,Dec–Jan–Feb,1990,1.411
China,Dec–Jan–Feb,1991,1.355
China,Dec–Jan–Feb,1992,0.838
China,Dec–Jan–Feb,1993,1.271
China,Dec–Jan–Feb,1994,0.915
China,Dec–Jan–Feb,1995,1.005
China,Dec–Jan–Feb,1996,0.535
China,Dec–Jan–Feb,1997,1.109
China,Dec–Jan–Feb,1998,1.32
China,Dec–Jan–Feb,1999,2.622
China,Dec–Jan–Feb,2000,0.404
China,Dec–Jan–Feb,2001,1.059
China,Dec–Jan–Feb,2002,2.102
China,Dec–Jan–Feb,2003,1.322
China,Dec–Jan–Feb,2004,1.654
China,Dec–Jan–Feb,2005,0.647
China,Dec–Jan–Feb,2006,0.992
China,Dec–Jan–Feb,2007,2.503
China,Dec–Jan–Feb,2008,0.346
China,Dec–Jan–Feb,2009,2.261
China,Dec–Jan–Feb,2010,1.217
China,Dec–Jan–Feb,2011,0.317
China,Dec–Jan–Feb,2012,-0.063
China,Dec–Jan–Feb,2013,0.539
China,Dec–Jan–Feb,2014,1.29
China,Dec–Jan–Feb,2015,1.78
China,Dec–Jan–Feb,2016,1.231
China,Dec–Jan–Feb,2017,2.907
China,Dec–Jan–Feb,2018,1.101
China,Dec–Jan–Feb,2019,1.326
China,Dec–Jan–Feb,2020,2.302
China,Dec–Jan–Feb,2021,1.984
China,Dec–Jan–Feb,2022,1.329
China,Dec–Jan–Feb,2023,1.655
China,Dec–Jan–Feb,2024,1.723
China,Mar–Apr–May,1961,0.33
China,Mar–Apr–May,1962,-0.392
China,Mar–Apr–May,1963,0.54
China,Mar–Apr–May,1964,0.561
China,Mar–Apr–May,1965,-0.243
China,Mar–Apr–May,1966,0.102
China,Mar–Apr–May,1967,0.364
China,Mar–Apr–May,1968,0.274
China,Mar–Apr–May,1969,0.308
China,Mar–Apr–May,1970,-0.945
China,Mar–Apr–May,1971,-0.089
China,Mar–Apr–May,1972,0.398
China,Mar–Apr–May,1973,0.478
China,Mar–Apr–May,1974,0.23
China,Mar–Apr–May,1975,0.236
China,Mar–Apr–May,1976,-0.568
China,Mar–Apr–May,1977,0.333
China,Mar–Apr–May,1978,0.418
China,Mar–Apr–May,1979,-0.205
China,Mar–Apr–May,1980,-0.212
China,Mar–Apr–May,1981,0.906
China,Mar–Apr–May,1982,0.337
China,Mar–Apr–May,1983,0.072
China,Mar–Apr–May,1984,0.03
China,Mar–Apr–May,1985,-0.029
China,Mar–Apr–May,1986,0.119
China,Mar–Apr–May,1987,0.07
China,Mar–Apr–May,1988,-0.403
China,Mar–Apr–May,1989,0.33
China,Mar–Apr–May,1990,0.369
China,Mar–Apr–May,1991,0.101
China,Mar–Apr–May,1992,0.392
China,Mar–Apr–May,1993,0.24
China,Mar–Apr–May,1994,0.503
China,Mar–Apr–May,1995,0.159
China,Mar–Apr–May,1996,-0.045
China,Mar–Apr–May,1997,1.217
China,Mar–Apr–May,1998,1.443
China,Mar–Apr–May,1999,0.762
China,Mar–Apr–May,2000,1.052
China,Mar–Apr–May,2001,0.931
China,Mar–Apr–May,2002,1.454
China,Mar–Apr–May,2003,0.82
China,Mar–Apr–May,2004,1.534
China,Mar–Apr–May,2005,1.044
China,Mar–Apr–May,2006,1.032
China,Mar–Apr–May,2007,1.494
China,Mar–Apr–May,2008,2.056
China,Mar–Apr–May,2009,1.571
China,Mar–Apr–May,2010,0.118
China,Mar–Apr–May,2011,0.487
China,Mar–Apr–May,2012,1.261
China,Mar–Apr–May,2013,1.536
China,Mar–Apr–May,2014,1.583
China,Mar–Apr–May,2015,1.672
China,Mar–Apr–May,2016,1.916
China,Mar–Apr–May,2017,1.261
China,Mar–Apr–May,2018,2.464
China,Mar–Apr–May,2019,1.899
China,Mar–Apr–May,2020,1.902
China,Mar–Apr–May,2021,1.961
China,Mar–Apr–May,2022,2.413
China,Mar–Apr–May,2023,1.945
China,Mar–Apr–May,2024,2.745
China,Jun–Jul–Aug,1961,0.475
China,Jun–Jul–Aug,1962,0.047
China,Jun–Jul–Aug,1963,0.149
China,Jun–Jul–Aug,1964,-0.143
China,Jun–Jul–Aug,1965,-0.288
China,Jun–Jul–Aug,1966,0.154
China,Jun–Jul–Aug,1967,0.197
China,Jun–Jul–Aug,1968,-0.221
China,Jun–Jul–Aug,1969,-0.377
China,Jun–Jul–Aug,1970,-0.057
China,Jun–Jul–Aug,1971,0.013
China,Jun–Jul–Aug,1972,0.007
