Country,Code,Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
China,CHN,1850,5828060.5,253096220,173548110
China,CHN,1851,5919000.5,250934430,172725490
China,CHN,1852,6008322.5,248776400,161629800
China,CHN,1853,6095027,246622030,176107840
China,CHN,1854,6178113.5,244471340,155673870
China,CHN,1855,6256581.5,242324290,156292910
China,CHN,1856,6329429.5,240180820,150647970
China,CHN,1857,6395658.5,238040940,143566080
China,CHN,1858,6454266.5,235904580,150433660
China,CHN,1859,6504253,233771710,143235800
China,CHN,1860,6544619,231642340,130825250
China,CHN,1861,6578936.5,230474050,106814550
China,CHN,1862,6611712.5,229306930,93574620
China,CHN,1863,6643343.5,228140960,90792584
China,CHN,1864,6674224.5,226976140,70357960
China,CHN,1865,6704754.5,225812480,53654828
China,CHN,1866,6735328.5,224649950,46326700
China,CHN,1867,6766344,223488560,32979782
China,CHN,1868,6798196.5,222328300,22004014
China,CHN,1869,6831283.5,221169140,11742241
China,CHN,1870,6866001.5,220011140,8020441
China,CHN,1871,6952493,220626980,18784256
China,CHN,1872,7127036,221243060,10758805
China,CHN,1873,7369238,221859490,590279.56
China,CHN,1874,7658703,222476260,7876216.5
China,CHN,1875,7975035.5,223093390,3404250
China,CHN,1876,8297841.5,223710750,10903231
China,CHN,1877,8606726,224328460,13756909
China,CHN,1878,8881293,224946530,17047456
China,CHN,1879,9101147,225564940,11165335
China,CHN,1880,9245895,226180340,30794536
China,CHN,1881,9340201,226915220,47392724
China,CHN,1882,9423766,227650480,44637810
China,CHN,1883,9498752,228386370,44848780
China,CHN,1884,9567316,229122670,60444384
China,CHN,1885,9631618,229859470,44403604
China,CHN,1886,9693819,230596770,49962820
China,CHN,1887,9756077,231334460,70204280
China,CHN,1888,9820552,232072780,62174620
China,CHN,1889,9889404,232811620,67698840
China,CHN,1890,10328461,233550830,90784136
China,CHN,1891,10497917,234773760,89388470
China,CHN,1892,10672717,235998450,97499704
China,CHN,1893,10852778,237224770,87601240
China,CHN,1894,11038015,238452660,93286420
China,CHN,1895,11228344,239682240,103061390
China,CHN,1896,11423681,240907460,109292190
China,CHN,1897,11623942,242134180,113084680
China,CHN,1898,11829042,243362380,115658600
China,CHN,1899,12038897,244609540,116674640
China,CHN,1900,12253424,245821460,130326170
China,CHN,1901,12473795,247131570,146469840
China,CHN,1902,12701245,248460540,161890060
China,CHN,1903,12935778,250116430,176277280
China,CHN,1904,13177397,251454420,168862190
China,CHN,1905,13426108,252809260,170489840
China,CHN,1906,13681911,256845280,180954670
China,CHN,1907,13944813,258119630,204562560
China,CHN,1908,14214818,260526100,211236800
China,CHN,1909,14491928,261507280,212070830
China,CHN,1910,14776148,262453660,237084620
China,CHN,1911,15076125,267010670,255132910
China,CHN,1912,15398198,266586050,252082140
China,CHN,1913,15738912,269652860,274807800
China,CHN,1914,16094813,273345540,291480480
China,CHN,1915,16462445,276429250,289896100
China,CHN,1916,16838354,279685500,295152770
China,CHN,1917,17219086,282951460,307763520
China,CHN,1918,17601184,286097470,319040220
China,CHN,1919,17981194,289626850,311458430
China,CHN,1920,18355662,293035650,294460450
China,CHN,1921,18723058,293717660,292751070
China,CHN,1922,19086448,294917570,286439580
China,CHN,1923,19449260,296883840,301103520
China,CHN,1924,19814924,298380220,291838900
China,CHN,1925,20186872,298994560,296905020
China,CHN,1926,20568530,299274900,299899230
China,CHN,1927,20963334,300941630,296247650
China,CHN,1928,21374710,301986620,306039330
China,CHN,1929,21806090,303236770,301511580
China,CHN,1930,22260906,304560160,324690620
China,CHN,1931,22747152,306926140,342631260
China,CHN,1932,23269702,308567970,367539700
China,CHN,1933,23827288,311167740,391135040
China,CHN,1934,24418652,314289280,411953820
China,CHN,1935,25042524,317624580,427162720
China,CHN,1936,25697640,320328000,438081100
China,CHN,1937,26382738,320895550,454698100
China,CHN,1938,27096552,321407360,448158180
China,CHN,1939,27837818,324917950,481264000
China,CHN,1940,28605272,329751740,534135100
China,CHN,1941,29695084,335410620,573682240
China,CHN,1942,31331800,338263520,605677200
China,CHN,1943,33406738,337076770,607608260
China,CHN,1944,35811220,338989820,619061440
China,CHN,1945,38436550,333314940,585528960
China,CHN,1946,41174056,332826370,585648800
China,CHN,1947,43915040,336306900,587778240
China,CHN,1948,46550830,337645150,570397440
China,CHN,1949,48972740,347063970,593292600
China,CHN,1950,51072080,353469540,813077600
China,CHN,1951,53178356,367681250,985629500
China,CHN,1952,55649644,381130530,790180350
China,CHN,1953,58420136,390176130,730257540
China,CHN,1954,61424010,402632740,890850900
China,CHN,1955,64595452,415241300,864838400
China,CHN,1956,67868650,426836060,773118400
China,CHN,1957,71177784,441634460,770351740
China,CHN,1958,74457040,495981730,862611140
China,CHN,1959,77640590,536831500,1059076100
China,CHN,1960,80662640,552710300,1027290800
China,CHN,1961,84976420,521948480,1100974300
China,CHN,1962,87605970,507972200,1014923000
China,CHN,1963,93064010,522051420,1069380860
China,CHN,1964,100643920,545809800,986948300
China,CHN,1965,108139840,565684600,1199442200
China,CHN,1966,117917900,590978600,1073513300
China,CHN,1967,117951730,589512640,816435300
China,CHN,1968,121333830,604910000,918481300
China,CHN,1969,125581864,634450240,1438114200
China,CHN,1970,132501610,682384700,1490593900
China,CHN,1971,136563460,701486500,1322847900
China,CHN,1972,143254190,720749500,1770797300
China,CHN,1973,150222130,729206340,1735401700
China,CHN,1974,150591730,736292350,1743547100
China,CHN,1975,159711980,775065400,1800189700
China,CHN,1976,159958380,783918850,1742272900
China,CHN,1977,176511490,810268160,2191044000
China,CHN,1978,194582830,833349250,2462883600
China,CHN,1979,205591920,841190900,2060795800
China,CHN,1980,219189550,839155460,2014719500
China,CHN,1981,212346220,839422700,1963759400
China,CHN,1982,218732430,855678300,2071628000
China,CHN,1983,231789760,878500600,2141377200
China,CHN,1984,243895330,907524740,2264768000
China,CHN,1985,236528660,925873340,2370679600
China,CHN,1986,240089400,945811900,2477350000
China,CHN,1987,267463800,969548100,2605957600
China,CHN,1988,279591500,994888800,2783364000
China,CHN,1989,287556320,1023098400,2839672800
China,CHN,1990,298188960,1041450700,2869696300
China,CHN,1991,304797000,1045327550,2955705600
China,CHN,1992,310834000,1039679800,3089783600
China,CHN,1993,307012260,1046805060,3242011100
China,CHN,1994,319008960,1064153200,3514674200
China,CHN,1995,363468130,1126266400,3682311700
China,CHN,1996,381890980,1127177200,3844514300
China,CHN,1997,356941100,1097485400,3858210300
China,CHN,1998,365222340,1089980400,3724906200
China,CHN,1999,377373200,1092344300,3863209000
China,CHN,2000,367944030,1108095900,3831784200
China,CHN,2001,366842720,1118592300,3833159400
China,CHN,2002,384378660,1127299800,4152577000
China,CHN,2003,390809950,1186952700,4878822400
China,CHN,2004,408476350,1268221200,5267143700
China,CHN,2005,423778180,1339096600,5905111600
China,CHN,2006,436558720,1396412000,6518463500
China,CHN,2007,445351970,1424359600,6993244700
China,CHN,2008,450842270,1437849100,7517217300
China,CHN,2009,430502080,1465252100,7932551700
China,CHN,2010,434697540,1524504200,8608529000
China,CHN,2011,441329800,1626133200,9519695000
China,CHN,2012,448537760,1625214000,9711615000
China,CHN,2013,451293300,1651453800,9873662000
China,CHN,2014,454228830,1670111100,9878255000
China,CHN,2015,457124770,1671582200,9803999000
China,CHN,2016,456859900,1621114200,9612284000
China,CHN,2017,453819460,1639648800,9842397000
China,CHN,2018,449691800,1677521400,10152572000
China,CHN,2019,418187870,1699522700,10496385000
China,CHN,2020,418821300,1732467500,10690012000
China,CHN,2021,425249860,1778399900,11223970000
China,CHN,2022,420097660,1864383700,11119358000
China,CHN,2023,410853340,1886239500,11671822000
Dominica,DMA,1850,316.74557,5687.8535,24255.68
Dominica,DMA,1851,321.1526,5779.0347,26335
Dominica,DMA,1852,325.49823,5873.815,27049.48
Dominica,DMA,1853,329.7445,5979.9805,27947.16
Dominica,DMA,1854,333.8535,6086.0376,28203.64
Dominica,DMA,1855,337.78717,6191.987,28414.32
Dominica,DMA,1856,341.50754,6315.4155,28899.8
Dominica,DMA,1857,344.97662,6439.643,29202.08
Dominica,DMA,1858,348.15652,6564.692,29202.08
Dominica,DMA,1859,351.00922,6690.586,28276.92
Dominica,DMA,1860,353.49664,6817.351,23669.44
Dominica,DMA,1861,355.75464,6888.945,22652.682
Dominica,DMA,1862,357.95407,6959.734,19391.72
Dominica,DMA,1863,360.11002,7031.638,19941.32
Dominica,DMA,1864,362.23755,7103.1274,19226.84
Dominica,DMA,1865,364.35175,7163.4346,18988.68
Dominica,DMA,1866,366.4676,7223.8203,18567.32
Dominica,DMA,1867,368.6002,7284.2847,18576.48
Dominica,DMA,1868,370.76456,7344.827,18374.959
Dominica,DMA,1869,372.97583,7400.288,18219.24
Dominica,DMA,1870,375.249,7455.8003,13794.96
Dominica,DMA,1871,379.48715,7474.5864,12210.28
Dominica,DMA,1872,387.06735,7491.7275,11275.96
Dominica,DMA,1873,397.21548,7508.9956,10763
Dominica,DMA,1874,409.1575,7526.387,10286.68
Dominica,DMA,1875,422.1193,7542.139,9901.96
Dominica,DMA,1876,435.32675,7558.0107,9343.2
Dominica,DMA,1877,448.0058,7573.9966,9031.76
Dominica,DMA,1878,459.38235,7588.2466,8821.08
Dominica,DMA,1879,468.6823,7602.614,3517.4402
Dominica,DMA,1880,475.13165,7617.0933,4634.96
Dominica,DMA,1881,479.6664,7390.747,4497.56
Dominica,DMA,1882,483.79355,7181.7837,-2390.76
Dominica,DMA,1883,487.59506,6964.1167,-4992.2
Dominica,DMA,1884,491.1528,6737.6313,-7419.6
Dominica,DMA,1885,494.54883,6508.162,-9508.08
Dominica,DMA,1886,497.86508,6279.495,-11541.6
Dominica,DMA,1887,501.1835,6055.795,-13227.04
Dominica,DMA,1888,504.5861,5830.4316,-14830.04
Dominica,DMA,1889,508.15475,5608.4263,-16295.641
Dominica,DMA,1890,573.6377,5402.7505,6100.56
Dominica,DMA,1891,580.0809,5618.724,15150.641
Dominica,DMA,1892,589.41815,5838.287,20225.28
Dominica,DMA,1893,601.3748,6059.7695,24182.4
Dominica,DMA,1894,615.67633,6280.3477,27415.879
Dominica,DMA,1895,632.0479,6499.9546,30264.64
Dominica,DMA,1896,650.21497,6719.544,32774.477
Dominica,DMA,1897,669.90265,6939.1104,34872.117
Dominica,DMA,1898,690.8364,7159.7017,37033.88
Dominica,DMA,1899,712.7416,7381.363,35751.48
Dominica,DMA,1900,735.34344,7577.0166,36154.52
Dominica,DMA,1901,765.1431,7830.951,34295.04
Dominica,DMA,1902,806.7444,8089.7456,34514.88
Dominica,DMA,1903,857.0261,8350.584,31876.799
Dominica,DMA,1904,912.86743,8617.204,33415.68
Dominica,DMA,1905,971.1473,8887.562,35046.16
Dominica,DMA,1906,1028.7446,9161.553,35430.88
Dominica,DMA,1907,1082.5386,9439.069,36108.72
Dominica,DMA,1908,1129.4081,9719.998,36603.36
Dominica,DMA,1909,1166.232,10004.222,37308.68
Dominica,DMA,1910,1189.8896,10291.617,24732
Dominica,DMA,1911,1205.628,10513.272,22973.28
Dominica,DMA,1912,1220.7344,10733.053,22258.8
Dominica,DMA,1913,1235.1477,10956.691,22093.92
Dominica,DMA,1914,1248.8073,11158.42,22176.36
Dominica,DMA,1915,1261.6517,11355.697,22249.64
Dominica,DMA,1916,1273.6204,11555.117,22304.602
Dominica,DMA,1917,1284.6523,11749.712,22377.88
Dominica,DMA,1918,1294.6863,11946.598,24631.24
Dominica,DMA,1919,1303.6614,12138.301,25281.602
Dominica,DMA,1920,1311.5167,12332.443,17083.398
Dominica,DMA,1921,1316.6666,12341.826,13904.88
Dominica,DMA,1922,1318.171,12405.032,12631.64
Dominica,DMA,1923,1316.937,12436.62,12164.4795
Dominica,DMA,1924,1313.8723,12452.48,5230.36
Dominica,DMA,1925,1309.8843,12469.202,3224.3198
Dominica,DMA,1926,1305.8801,12525.139,1108.36
Dominica,DMA,1927,1302.7676,12561.209,-806.07996
Dominica,DMA,1928,1301.4536,12611.428,-2271.68
Dominica,DMA,1929,1302.8461,12654.411,-4543.36
Dominica,DMA,1930,1307.8518,12715.9795,34478.24
Dominica,DMA,1931,1318.7389,13541.785,52743.277
Dominica,DMA,1932,1336.4869,14343.556,61088.04
Dominica,DMA,1933,1360.0718,15150.404,66739.76
Dominica,DMA,1934,1388.4691,15939.862,71310.6
Dominica,DMA,1935,1420.655,16730.125,75698.24
Dominica,DMA,1936,1455.605,17625.23,79737.805
Dominica,DMA,1937,1492.295,18513.578,84162.08
Dominica,DMA,1938,1529.7012,19469.236,88595.52
Dominica,DMA,1939,1566.7987,20485.35,93386.2
Dominica,DMA,1940,1602.5638,21471.18,56956.88
