Country,Year,Land animals slaughtered for meat
China,1961,612113024
China,1962,644345024
China,1963,700668032
China,1964,747843008
China,1965,791415488
China,1966,821681984
China,1967,856075520
China,1968,873251520
China,1969,899653504
China,1970,915708480
China,1971,979430976
China,1972,1046503488
China,1973,1086125056
China,1974,1126648064
China,1975,1158923008
China,1976,1227186048
China,1977,1278043008
China,1978,1330731008
China,1979,1406812032
China,1980,1471004032
China,1981,1493686528
China,1982,1553201536
China,1983,1596923008
China,1984,1650846976
China,1985,1730433024
China,1986,1970152064
China,1987,2171949056
China,1988,2568247040
China,1989,2609928448
China,1990,2841389568
China,1991,3303059456
China,1992,3678440704
China,1993,4600203776
China,1994,5088979968
China,1995,6073712128
China,1996,6214996992
China,1997,7292906496
China,1998,7828589568
China,1999,8615838720
China,2000,8965157888
China,2001,8871799808
China,2002,9057897472
China,2003,9528686592
China,2004,9572931584
China,2005,10214461440
China,2006,10198315008
China,2007,10895427584
China,2008,11539091456
China,2009,11971266560
China,2010,12456935424
China,2011,12778694656
China,2012,13570710528
China,2013,13441429504
China,2014,13157390336
China,2015,13575378944
China,2016,13847349248
China,2017,14246425600
China,2018,15103847424
China,2019,15237010432
China,2020,15506533376
China,2021,15832638464
China,2022,16860195840
China,2023,17132270592
Dominica,1961,73670
Dominica,1962,78695
Dominica,1963,85650
Dominica,1964,90680
Dominica,1965,97660
Dominica,1966,103610
Dominica,1967,109660
Dominica,1968,115716
Dominica,1969,121760
Dominica,1970,126790
Dominica,1971,131920
Dominica,1972,138200
Dominica,1973,144360
Dominica,1974,150510
Dominica,1975,154630
Dominica,1976,159820
Dominica,1977,164990
Dominica,1978,165120
Dominica,1979,170500
Dominica,1980,175900
Dominica,1981,181300
Dominica,1982,187100
Dominica,1983,192410
Dominica,1984,191930
Dominica,1985,192880
Dominica,1986,198490
Dominica,1987,204340
Dominica,1988,213613
Dominica,1989,213260
Dominica,1990,233720
Dominica,1991,243700
Dominica,1992,264150
Dominica,1993,284440
Dominica,1994,314630
Dominica,1995,314630
Dominica,1996,324850
Dominica,1997,329850
Dominica,1998,354850
Dominica,1999,355100
Dominica,2000,355100
Dominica,2001,355100
Dominica,2002,355100
Dominica,2003,355100
Dominica,2004,355100
Dominica,2005,355100
Dominica,2006,355150
Dominica,2007,355150
Dominica,2008,355150
Dominica,2009,355150
Dominica,2010,355150
Dominica,2011,355300
Dominica,2012,375450
Dominica,2013,377351
Dominica,2014,376314
Dominica,2015,377270
Dominica,2016,378265
Dominica,2017,379290
Dominica,2018,379280
Dominica,2019,381294
Dominica,2020,385371
Dominica,2021,386380
Dominica,2022,387359
Dominica,2023,388383
India,1961,131880000
India,1962,134434000
India,1963,135556992
India,1964,137680000
India,1965,139700000
India,1966,141840000
India,1967,144590000
India,1968,147256992
India,1969,150516000
India,1970,153106000
India,1971,155923008
India,1972,156890000
India,1973,158804992
